Headcount ID,Hiring status,Employee Name,Job title,Job role,Division,Department,Job level,Location,Actual start date,Offer acceptance date,Hiring quarter,Actual pay currency,Employee type,Actual pay rate,Actual salary,Actual commission,Actual bonus amount,Actual bonus percentage,Actual equity
ID_0236,Hired,EMP_5197,"VDR, Commerical",Marketing Manager,No Division,Marketing,IC1,Edinburgh,06-08-2026,04-29-2026,FY27 Q1,GBP,Full time,YEAR,"45,000","25,000",0.0,0.0,150
ID_7253,Hired,EMP_0059,"GTM Recruiter, EMEA",People Partner,No Division,Marketing,IC3,Edinburgh,05-11-2026,03-18-2026,FY27 Q1,GBP,Full time,YEAR,"110,000",0,5500.0,5.0,0
ID_8444,Hired,EMP_1069,Product Manager,Solutions Architect,No Division,Business Development,IC5,Boston,05-26-2026,03-27-2026,FY27 Q1,USD,Full time,YEAR,"350,000",0,35000.0,10.0,0
ID_8230,Hired,EMP_5245,Software Engineer,Security Strategist,No Division,Sales,IC5,Boston,04-27-2026,03-24-2026,FY27 Q2,USD,Full time,YEAR,"300,000",0,30000.0,10.0,0
ID_3254,Hired,EMP_5877,"Software Engineer, v0 API",Security Strategist,No Division,Sales,IC4,,06-22-2026,05-13-2026,FY27 Q1,USD,Full time,YEAR,"130,000",0,6500.0,5.0,999
ID_7703,Hired,EMP_4429,Software Engineer,Security Strategist,No Division,Sales,IC5,Boston,07-20-2026,05-05-2026,FY27 Q2,USD,Full time,YEAR,"350,000",0,35000.0,10.0,"7,000"
ID_7126,Hired,EMP_9250,"Sr. Field Marketing Manager, Startups",Security Designer,No Division,Finance,IC4,Austin,06-08-2026,05-07-2026,FY27 Q2,USD,Full time,YEAR,"230,000",0,17250.0,7.5,0
ID_3925,Hired,EMP_4880,Software Engineer,Security Strategist,No Division,Sales,IC4,Tokyo,04-27-2026,03-13-2026,FY27 Q1,JPY,Full time,YEAR,"44,000,000",0,3300000.0,7.5,0
ID_1476,Hired,EMP_9516,"Senior Brand Designer, Core",Finance Specialist,No Division,Procurement,IC4,Boston,03-20-2026,03-09-2026,FY27 Q1,USD,Full time,YEAR,"187,500",0,14062.5,7.5,900
ID_3251,Hired,EMP_1791,"VDR, Majors",Marketing Manager,No Division,Marketing,IC2,Austin,04-06-2026,03-06-2026,FY27 Q1,USD,Full time,YEAR,"70,000","46,000",0.0,0.0,0
ID_2133,Hired,EMP_1094,"Director of Partnerships, Commerce & Channels",Data Architect,No Division,Business Development,M5,Austin,03-02-2026,02-10-2026,FY27 Q1,USD,Full time,YEAR,"245,000","105,000",0.0,0.0,0
ID_8955,Hired,EMP_5368,"Director, Sales AUNZ",Product Designer,No Division,Marketing,M5,Sydney,05-01-2026,02-23-2026,FY27 Q1,AUD,Full time,YEAR,"356,000","356,000",0.0,0.0,0
ID_3786,Hired,EMP_5085,Senior GRC Engineer,Infrastructure Advisor,No Division,Marketing,IC4,Boston,03-16-2026,03-09-2026,FY27 Q1,USD,Full time,YEAR,"260,000",0,19500.0,7.5,0
ID_4479,Hired,EMP_0211,"VDR, Majors",Marketing Manager,No Division,Marketing,IC2,Edinburgh,04-06-2026,03-18-2026,FY27 Q3,GBP,Full time,YEAR,"50,000","33,000",0.0,0.0,0
ID_0383,Hired,EMP_1901,"Senior Account Executive, Startups",Platform Director,No Division,IT,IC3,Edinburgh,04-06-2026,03-03-2026,FY27 Q1,GBP,Full time,YEAR,"90,000","90,000",0.0,0.0,0
ID_7814,Hired,EMP_8127,Software Engineer,Security Strategist,No Division,Sales,IC3,Austin,04-16-2026,04-14-2026,FY27 Q1,USD,Full time,YEAR,"215,000",0,10750.0,5.0,0
ID_3368,Hired,EMP_8921,"Senior Account Executive, Startups",Platform Principal,No Division,IT,IC3,Austin,03-16-2026,03-03-2026,FY27 Q1,USD,Full time,YEAR,"125,000","125,000",0.0,0.0,0
ID_7616,Hired,EMP_7209,Director of Trust and Safety Engineering,People Lead,No Division,Legal,M5,Boston,05-11-2026,04-22-2026,FY27 Q1,USD,Full time,YEAR,"350,000",0,43750.0,12.5,0
ID_5236,Hired,EMP_0511,GTM Engineer,Technical Architect,No Division,Data,IC4,Austin,06-08-2026,05-05-2026,FY27 Q2,USD,Full time,YEAR,"252,000",0,18900.0,7.5,0
ID_7646,Hired,EMP_8429,Software Engineer,Security Strategist,No Division,Sales,IC4,Boston,03-16-2026,02-27-2026,FY27 Q2,USD,Full time,YEAR,"270,000",0,20250.0,7.5,0
ID_6881,Offer stage,EMP_4375,Design Engineer,Business Engineer,No Division,Procurement,IC4,Boston,07-06-2026,,FY27 Q2,USD,Full time,YEAR,"290,000",0,21750.0,7.5,"3,400"
ID_2854,Hired,EMP_9051,"Vice President, Sales",,No Division,Marketing,M6,Edinburgh,04-13-2026,,FY27 Q1,GBP,Full time,YEAR,"250,000","250,000",0.0,0.0,0
ID_6746,Hired,EMP_9647,"Sr. HRBP, Engineering",Security Architect,No Division,Communications,IC5,Boston,04-20-2026,04-06-2026,FY27 Q1,USD,Full time,YEAR,"225,000",0,22500.0,10.0,0
ID_3113,Hired,EMP_6670,"Principal Software Engineer, Data Infrastructure",Technical Architect,No Division,Marketing,IC6,Boston,05-26-2026,04-20-2026,FY27 Q1,USD,Full time,YEAR,"360,000",0,45000.0,12.5,0
ID_4831,Hired,EMP_7915,VP of Security,Platform Lead,No Division,Legal,E1,Boston,04-27-2026,03-17-2026,FY27 Q2,USD,Full time,YEAR,"375,000",0,75000.0,20.0,0
